Terminate!
aid: 3, oid: 792, r: -1.0
aid: 3, oid: 1554, r: 9.0
aid: 1, oid: 1554, r: -11.0
aid: 2, oid: 1045, r: 9.0
aid: 0, oid: 1045, r: -11.0
aid: 1, oid: 1554, r: -1.0
aid: 0, oid: 792, r: -1.0
aid: 1, oid: 277, r: -1.0
aid: 0, oid: 277, r: -11.0
aid: 2, oid: 792, r: -1.0
aid: 2, oid: 792, r: -11.0
aid: 3, oid: 1554, r: -1.0
aid: 2, oid: 1045, r: -1.0
aid: 0, oid: 1045, r: -11.0
aid: 2, oid: 44, r: 9.0
aid: 3, oid: 44, r: -11.0
aid: 0, oid: 2122, r: -1.0
aid: 3, oid: 2092, r: -1.0
aid: 3, oid: 2092, r: -11.0
aid: 3, oid: 44, r: -61.0
Terminate!
aid: 1, oid: 1317, r: -1.0
aid: 3, oid: 1317, r: -11.0
aid: 2, oid: 1349, r: -1.0
aid: 2, oid: 1825, r: -1.0
aid: 1, oid: 5189, r: -1.0
aid: 3, oid: 5189, r: -11.0
aid: 0, oid: 1349, r: -11.0
aid: 3, oid: 5189, r: -11.0
aid: 2, oid: 5665, r: -1.0
aid: 2, oid: 5268, r: -1.0
aid: 2, oid: 5649, r: -1.0
aid: 1, oid: 5268, r: -1.0
aid: 1, oid: 1825, r: -51.0
Terminate!
aid: 3, oid: 1349, r: -11.0
aid: 2, oid: 1825, r: -1.0
aid: 2, oid: 3348, r: -1.0
aid: 3, oid: 3348, r: -11.0
aid: 3, oid: 3348, r: -11.0
aid: 3, oid: 1428, r: -61.0
Terminate!
aid: 3, oid: 277, r: -11.0
aid: 0, oid: 277, r: -11.0
aid: 0, oid: 277, r: -11.0
aid: 1, oid: 293, r: -1.0
aid: 2, oid: 277, r: -1.0
aid: 3, oid: 20501, r: -11.0
aid: 2, oid: 21025, r: -1.0
aid: 1, oid: 20501, r: -1.0
aid: 1, oid: 4133, r: -1.0
aid: 1, oid: 24849, r: -1.0
aid: 1, oid: 18836, r: -1.0
aid: 1, oid: 17169, r: -1.0
aid: 0, oid: 785, r: -61.0
Terminate!
aid: 3, oid: 1317, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 1, oid: 1297, r: -1.0
aid: 1, oid: 1428, r: -1.0
aid: 3, oid: 1428, r: -11.0
aid: 2, oid: 16657, r: -1.0
aid: 1, oid: 16788, r: -1.0
aid: 3, oid: 1428, r: -11.0
aid: 0, oid: 154, r: -1.0
aid: 0, oid: 424, r: -1.0
aid: 2, oid: 424, r: -11.0
aid: 2, oid: 424, r: -11.0
aid: 1, oid: 277, r: -1.0
aid: 3, oid: 277, r: -11.0
aid: 1, oid: 277, r: -1.0
aid: 2, oid: 277, r: -1.0
